"tipo_producto","marca","nombre_comercial","denominacion_venta","rnpa",""
"25","Puglisi","No registra","Caballa al agua sin sal agregada libre de gluten ","435/88311/1",""
"31","1193","No registra","Jamón crudo sin hueso, sin cuero y desgrasado libre de gluten","1193/87168/2",""
"31","1193","No registra","Pernil de cerdo sin hueso libre de gluten","1193/98470/2",""
"31"," Lácteos y Fiambres Elca","No registra","Jamón crudo sin hueso sin cuero y desgrasado libre de gluten","1193/106859/1",""
"31","Alimentos Tapalqué","No registra","Lomo de cerdo ahumado libre de gluten","1180/02815/4",""
"31","Alimentos Tapalqué","No registra","Salame tipo milán libre de gluten","1180/103615/1",""
"31","Alimentos Tapalqué","No registra","Salame tipo milán libre de gluten","1180/103615/2",""
"31","Alimentos Tapalqué","No registra","Salame tipo milán libre de gluten","1180/103615/3",""
"31","Alimentos Tapalqué","No registra","Salame tipo milán libre de gluten","1180/103615/4",""
"31","Alimentos Tapalqué","No registra","Salame tipo milán libre de gluten","1180/103615/5",""
"31","Tapalqué Alimentos","No registra","Mortadela libre de gluten","1180/103719/1",""
"31","Alimentos Tapalqué","No registra","Fiambre cocido de cerdo para emparedados libre de gluten","1180/106813/1",""
"31","Tapalqué Alimentos","No registra","Fiambre cocido de cerdo para emparedados libre de gluten","1180/106813/2",""
"31","Alimentos Tapalqué","No registra","Fiambre cocido de paleta de cerdo libre de gluten","1180/4549/2",""
"31","Alimentos Tapalqué","No registra","Jamón cocido libre de gluten","1180/49310/3",""
"31","Alimentos Tapalqué","No registra","Jamón cocido feteado libre de gluten","1180/95014/1",""
"31","Alimentos Tapalqué","No registra","Fiambre cocido de pata de cerdo libre de gluten","1180/95024/1",""
"31","Alimentos Tapalqué","No registra","Fiambre cocido de pata de cerdo libre de gluten","1180/95024/2",""
"31","Tapalqué Alimentos","No registra","Jamón cocido feteado libre de gluten","1180/95177/1",""
"31","Tapalqué Alimentos","No registra","Paleta de cerdo cocida libre de gluten","1180/49311/3",""
"31","Tapalqué Alimentos","No registra","Paleta de cerdo cocida libre de gluten","1180/49311/4",""
"31","Alma Criolla","No registra","Chorizos frescos tipo bombón libres de gluten","3416/69807/3",""
"31","Aro","No registra","Jamón cocido libre de gluten","175/101845/1",""
"31","Aro","No registra","Fiambre cocido de pata de cerdo libre de gluten","175/96242/3",""
"31","Bell's","No registra","Salchicha para copetín c/piel sanck sin TACC","3439/35892/1",""
"31","Bocatti","No registra","Jamón cocido libre de gluten","366/27149/1",""
"31","Bocatti","No registra","Jamón cocido a las finas hierbas","366/37371/2",""
"31","Bocatti","No registra","Salame tipo Milán libre de gluten","366/52606/1",""
"31","Bocatti","No registra","Lomo de cerdo horneado libre de gluten","366/57265/1",""
"31","Brest","No registra","Salchicha tipo viena sin piel libre de gluten sin TACC x 12 unidades (380 g)","1192/53659/19",""
"31","Brest","No registra","Salchicha tipo viena sin piel libre de gluten sin TACC x 12 unidades (720 g)","1192/53659/22",""
"31","Brest","No registra","Salchicha tipo viena sin piel libre de gluten sin TACC x 6 unidades (190 g)","1192/53659/9",""
"31","Cabaña SR","No registra","Morcilla tipo vasca libre de gluten","2616/23678/7",""
"31","Cabaña SR","No registra","Morcilla tipo criolla - Libre de gluten","3416/23522/1",""
"31","Cabaña SR","No registra","Chorizos frescos libres de gluten","3416/23523/9",""
"31","Cabaña SR","No registra","Chorizos frescos libres de gluten","3416/23525/1",""
"31","Cabaña SR","No registra","Chorizos frescos tipo bombón libres de gluten","3416/23525/7",""
"31","Cabaña SR","No registra","Morcilla a la vasca libre de gluten","3416/23678/3",""
"31","Cabaña SR","No registra","Morcilla a la vasca libre de gluten","3416/23678/7",""
"31","Cabaña SR","No registra","Salchicha fresca parrillera libre de gluten","3416/23679/5",""
"31","Cabaña SR","No registra","Salchicha fresca parrillera libre de gluten","3416/23679/6",""
"31","Cabaña SR","No registra","Chorizos frescos de cerdo. Libre de gluten","3416/27703/1",""
"31","Cabaña SR","No registra","Chorizos frescos de carne de cerdo tipo bombón libres de gluten","3416/27703/6",""
"31","Cabaña SR","No registra","Chorizos frescos de carne de cerdo tipo bombón libres de gluten","3416/27703/7",""
"31","Cabaña SR","No registra","Salchicha tipo viena con piel libre de gluten","3416/27706/1",""
"31","Cabaña SR","No registra","Salchicha tipo viena con piel tipo copetín libre de gluten","3416/27706/3",""
"31","Cagnoli","No registra","Sopresatta a la italiana libre de gluten","1053/00047/4",""
"31","Cagnoli","No registra","Salame tandilero tipo fuet","1053/52478/1",""
"31","Cagnoli","No registra","Jamón cocido ","1053/52911/1",""
"31","Cagnoli","No registra","Jamón cocido libre de gluten","1053/52911/2",""
"31","Cagnoli","No registra","Fiambre cocido de pata de cerdo libre de gluten","1053/70642/5",""
"31","Campo Austral","Fuet","Embutido de cerdo libre de gluten","3414/92897/8",""
"31","Campo Austral","No registra","Jamón cocido libre de gluten","3414/70574/4",""
"31","Campo Austral","No registra","Jamón crudo deshuesado libre de gluten","3414/71802/1",""
"31","Campo Austral","No registra","Jamón crudo libre de gluten","3414/71802/12",""
"31","Campo Austral","No registra","Jamón crudo libre de gluten","3414/71808/1",""
"31","Campo Austral","No registra","Jamón crudo libre de gluten","3414/71808/12",""
"31","Campo Austral","No registra","Jamón crudo libre de gluten","3414/71808/5",""
"31","Campo Austral","No registra","Jamón cocido feteado libre de gluten","3414/86246/18",""
"31","Campo Austral","No registra","Pechuga de pavo salada cocida y feteada libre de gluten","3414/92700/1",""
"31","Campo Austral","No registra","Pechuga de pavo salada cocida y feteada libre de gluten","3414/92700/16",""
"31","Campo Austral","No registra","Pechuga de pavo salada cocida y feteada libre de gluten","3414/92700/9",""
"31","Campo Austral","No registra","Panceta salada cocida y ahumada libre de gluten","3414/92702/1",""
"31","Campo Austral","No registra","Panceta salada cocida y ahumada libre de gluten","3414/92702/3",""
"31","Campo Austral","No registra","Jamón cocido libre de gluten","3414/92703/1",""
"31","Campo Austral","No registra","Mortadela con pistachos libre de gluten","3414/92804/10",""
"31","Campo Austral","No registra","Mortadela con pistachos libre de gluten","3414/92804/7",""
"31","Campo Austral","No registra","Bondiola libre de gluten","3414/92805/1",""
"31","Campo Austral","No registra","Lomo de cerdo curado libre de gluten","3414/92806/1",""
"31","Campo Austral","No registra","Lomo de cerdo curado libre de gluten","3414/92806/6",""
"31","Campo Austral","No registra","Jamón crudo con hueso libre de gluten","3414/93968/3",""
"31","Campo Austral Baviera","No registra","Salchicha cocida tipo alemán pasteurizada libre de gluten","3414/92701/2",""
"31","Campo Austral Milenium","No registra","Pechuga de pavo salada y cocida","3414/71857/15",""
"31","Campo Austral Milenium","No registra","Pechuga de pavo salada y cocida","3414/71857/3",""
"31","Campo Austral Millenium","No registra","Jamón cocido braseado","3414/69464/1",""
"31","Campo Austral Millenium","No registra","Pechuga de pavo salada cocida y braseada","3414/69597/1",""
"31","Campo Austral Millenium","No registra","Pechuga de pavo salada cocida y braseada feteada","3414/69597/12",""
"31","Campo Austral Millenium","No registra","Jamón cocido libre de gluten","3414/71987/1",""
"31","Campo Austral Millenium","No registra","Jamón cocido libre de gluten","3414/71987/18",""
"31","Campo Austral ","No registra","Jamón cocido feteado libre de gluten","3414/71987/20",""
"31","Campo Austral Millenium","No registra","Lomo de cerdo cocido y braseado a las finas hierbas","3414/78076/2",""
"31","Campo Austral Millenium","No registra","Jamón crudo con hueso","3414/82259/2",""
"31","Campo Austral Tradicional","No registra","Bondiola","3414/23994/18",""
"31","Campo Austral Tradicional","No registra","Jamón crudo con hueso","3414/70510/2",""
"31","Campo Austral Tradicional","No registra","Jamón cocido","3414/71835/2",""
"31","Campofrío","No registra","Bondiola","3414/23394/1",""
"31","Campofrío","No registra","Jamón cocido","3414/23395/1",""
"31","Campofrío","No registra","Pechuga de pavo","3414/23420/10",""
"31","Campofrío","No registra","Jamón crudo deshuesado - Jamón serrano oro","I 1387/32700/1",""
"31","Campofrío","No registra","Jamón crudo deshuesado - Jamón Serrano Plata","I 1387/32702/1",""
"31","Campofrío","No registra","Jamón crudo deshuesado - Centro de jamón serrano","I 1387/35388/1",""
"31","Campofrío","Tradicional","Jamón crudo deshuesado","3414/56256/1",""
"31","Campofrío Tradicional","No registra","Jamón crudo con hueso","3414/56563/1",""
"31","Chacinados Il Nonno Alpino","No registra","Morcilla tipo vasca libre de gluten","3969/52914/1",""
"31","Chacinados Il Nonno Alpino","No registra","Salame de la colonia picado fino libre de gluten","3969/52942/1",""
"31","Chacinados Il Nonno Alpino","No registra","Salame de la colonia picado fino libre de gluten","3969/52942/2",""
"31","Chacinados Il Nonno Alpino","No registra","Salame de la colonia picado fino libre de gluten","3969/52942/3",""
"31","Chacinados Il Nonno Alpino","No registra","Chorizo fresco de carne de cerdo 100% libre de gluten","3969/52945/1",""
"31","Chacinados Il Nonno Alpino","No registra","Chorizo precocido de carne de cerdo libre de gluten","3969/57892/1",""
"31","Chacinados Il Nonno Alpino","No registra","Salame de la colonia picado grueso libre de gluten","3969/59243/1",""
"31","Chacinados Il Nonno Alpino","No registra","Salame de la colonia picado grueso libre de gluten","3969/59243/3",""
"31","Chacinados Il Nonno Alpino","No registra","Chorizo colonia mezcla de carne vacuna y cerdo precocido libre de gluten","3969/60132/1",""
"31","Chacinados Il Nonno Alpino","No registra","Panceta salada libre de gluten","3969/79430/1",""
"31","Chacinados Il Nonno Alpino","No registra","Bondiola feteada libre de gluten","3969/79431/1",""
"31","Chacinados Il Nonno Alpino","No registra","Jamón crudo feteado libre de gluten","3969/79432/1",""
"31","Chacinados Il Nonno Alpino","No registra","Jamón crudo en trozos libre de gluten","3969/81067/1",""
"31","Cruz Pampa","No registra","Jamón cocido libre de gluten","175/105025/2",""
"31","Cruz Pampa","No registra","Jamón crudo con hueso libre de gluten","3781/104991/1",""
"31","Cruz Pampa","No registra","Jamón crudo sin hueso sin cuero y desgrasado libre de gluten","3781/104994/1",""
"31","Don Décimo","No registra","Bondiola libre de gluten","1193/85296/3",""
"31","Don Décimo","No registra","Pernil de cerdo sin hueso libre de gluten","1193/99609/2",""
"31","El Alba","No registra","Pernil de cerdo sin hueso libre de gluten","1193/99607/2",""
"31","El Artesano de Marcos Paz","No registra","Jamón crudo feteado por 150g libre de gluten","1180/95261/1",""
"31","El artesano de Marcos Paz","No registra","Jamón crudo con hueso libre de gluten","3781/42872/1",""
"31","El Artesano de Marcos Paz","No registra","Jamón crudo sin hueso sin cuero y desgrasado libre de gluten","3781/44302/1",""
"31","El Artesano de Marcos Paz","No registra","Jamón crudo sin hueso con cuero libre de gluten","3781/55320/3",""
"31","El Artesano de Marcos Paz","No registra","Jamón crudo argentino sin hueso con cuero libre de gluten","3781/72150/3",""
"31","El Español","No registra","Bondiola libre de gluten","1193/61164/1",""
"31","El Español","No registra","Pernil de cerdo sin hueso libre de gluten","1193/98471/2",""
"31","El Nahuel","No registra","Jamón cocido con cuero línea tradicional","996/21836/1",""
"31","El Valle","No registra","Bondiola libre de gluten","1193/61163/1",""
"31","El Valle","No registra","Pernil de cerdo sin hueso libre de gluten","1193/98472/2",""
"31","EMEZETA","No registra","Jamón cocido con cuero","3783/44374/1",""
"31","Espectec Doina","No registra","Salamín picado fino libre de gluten","3623/34131/5",""
"31","Espectec Doina","No registra","Salamín picado fino libre de gluten","3623/35563/5",""
"31","Espetec Doina","No registra","Salame picado fino tipo ibérico libre de gluten","3623/34131/3",""
"31","Espetec Doina","No registra","Salame picado fino libre de gluten","3623/34131/6",""
"31","Espetec Doina","No registra","Salame picado fino tipo ibérico libre de gluten","3623/35563/3",""
"31","Espetec Doina","No registra","Salame picado fino tipo ibérico libre de gluten","3623/35563/4",""
"31","Espetec Doina","No registra","Salame picado fino tipo ibérico libre de gluten","3623/35563/6",""
"31","Espuña","No registra","Jamón crudo feteado","3844/48669/14",""
"31","Espuña","No registra","Jamón crudo feteado","I 408/27515/3",""
"31","F S C","No registra","Jamón cocido libre de gluten","175/105539/2",""
"31","Fiambres y Lácteos Elca","No registra","Jamón crudo sin hueso sin cuero y desgrasado libre de gluten","1190/106859/1",""
"31","Fiambres y Lácteos Elca","No registra","Pernil de cerdo sin hueso con cuero libre de gluten","1193/106860/1",""
"31","Fiambres y Lácteos Elca","No registra","Bondiola libre de gluten","1193/106861/1",""
"31","Fiambres y Lácteos Elca","No registra","Pecho vacuno ahumado libre de gluten ","4259/106699/3",""
"31","Fiambres y Lácteos Elca","Pastrami","Pecho vacuno ahumado libre de gluten ","4529/106699/3",""
"31","FOX","No registra","Jamón cocido con cuero","201/01589/2",""
"31","FOX","No registra","Jamón cocido con cuero","201/01589/4",""
"31","Frideza","No registra","Chorizo colorado libre de gluten","2094/71180/1",""
"31","Frigorífico Los 4 S.R.L.","Etiqueta Negra","Lomo de Cerdo Cocido y Ahumado - Tipo Praga","3618/82651/1",""
"31","Frigorífico Los 4 S.R.L.","Etiqueta Negra","Pecho vacuno ahumado - Pastrón","3618/82652/2",""
"31","Frigorífico Los 4 S.R.L.","Etiqueta Negra","Jamón cocido","3618/82653/2",""
"31","Frigorífico Los 4 S.R.L.","Etiqueta Negra","Panceta cocida y ahumada","3618/82945/2",""
"31","Frigorífico San José","No registra","Salamines picado fino libres de gluten","201/95653/1",""
"31","Frigorífico San José","No registra","Jamón cocido libre de gluten","4601/98787/3",""
"31","Granja Iris","No registra","Mortadela libre de gluten","1192/58179/1",""
"31","Granja Iris","No registra","Mortadela libre de gluten","1192/58179/7",""
"31","Granja Iris","No registra","Salchicha tipo viena sin piel libre de gluten sin TACC x 6 unidades (225 g)","1192/67936/1",""
"31","Granja Iris","No registra","Salchicha tipo viena sin piel libre de gluten sin TACC x 2 unidades (75 g)","1192/67936/11",""
"31","Granja Iris","No registra","Salchicha tipo viena sin piel libre de gluten sin TACC x 10 unidades (375 g)","1192/67936/2",""
"31","Granja Iris","No registra","Salchicha tipo viena sin piel libre de gluten sin TACC x 12 unidades (450 g)","1192/67936/3",""
"31","Granja Iris","No registra","Salchicha cocida sin piel reducida en grasas totales y calorías envasadas al vacío libre de gluten ","1192/95792/1",""
"31","Granja Iris","No registra","Salchicha tipo viena sin piel libre de gluten sin TACC x 12 unidades (720 g)","1192/98971/14",""
"31","Granja Iris Americana","No registra","Salchichas de carne vacuna cocidas y ahumadas sin piel libre de gluten","1192/104692/17",""
"31","Granja Iris Junior","No registra","Salchicha tipo Viena sin piel libre de gluten sin TACC x 6 unidades (190 g)","1192/89507/1",""
"31","Granja Iris Junior","No registra","Salchicha tipo Viena sin piel libre de gluten sin TACC x 12 unidades (380 g)","1192/89507/2",""
"31","Granja Iris Junior","No registra","Salchicha tipo Viena sin piel libre de gluten sin TACC x 30 unidades (950 g)","1192/89507/20",""
"31","Granja Iris Junior","No registra","Salchicha tipo Viena sin piel libre de gluten sin TACC x 24 unidades (760 g)","1192/89507/3",""
"31","Great Value","No registra","Jamón cocido libre de gluten ","3414/78033/4",""
"31","Imperial","No registra","Jamón crudo deshuesado","3414/76470/11",""
"31","Imperiale","No registra","Jamón cocido libre de gluten","3414/70754/4",""
"31","La Anónima","No registra","Salchicha cocida tipo alemán pasteurizada libre de gluten","3414/86262/1",""
"31","La Boutique","No registra","Pernil de cerdo sin hueso libre de gluten","1193/101260/2",""
"31","La Octava","No registra","Panceta salada libre de gluten","2809/11176/1",""
"31","La Octava","No registra","Panceta salada y ahumada","289/13601/1",""
"31","Línea Oro Alimentos Tapalqué","No registra","Jamón cocido libre de gluten","1180/31914/3",""
"31","Lomsicar","No registra","Jamón cocido","255/22626/1",""
"31","Los Tres","No registra","Bondiola libre de gluten","1193/09780/3",""
"31","Magret","No registra","Chorizo con jamón libre de gluten","2616/44078/5",""
"31","Magret","No registra","Lomo de cerdo cocido libre de gluten","2616/74668/1",""
"31","Magret","No registra","Lomo de cerdo cocido feteado libre de gluten","2616/74668/2",""
"31","Magret","No registra","Chorizo fresco libre de gluten","2616/86374/3",""
"31","Magret","No registra","Salchicha fresca de carne de cerdo libre de gluten ","2616/86703/3",""
"31","Magret","No registra","Chorizo de carne 100% de cerdo precocido libre de gluten","2616/94116/1",""
"31","Magret","No registra","Chorizo de carne 100% de cerdo precocido libre de gluten","2616/94116/4",""
"31","Magret","No registra","Mortadela de cerdo libre de gluten","2616/94712/1",""
"31","Magret","No registra","Mortadela feteada libre de gluten","2616/94712/3",""
"31","Magret","No registra","Jamón cocido","2616/95050/2",""
"31","Magret","No registra","Jamón cocido feteado libre de gluten","2616/95050/3",""
"31","Magret","No registra","Morcilla tipo criolla libre de gluten","2616/9779/2",""
"31","Montebérico","No registra","Fiambre cocido de pata de cerdo libre de gluten","4941/101038/2",""
"31","Montebérico","No registra","Jamón cocido libre de gluten","4941/101046/2",""
"31","Montesano","No registra","Jamón cocido","2809/69596/2",""
"31","Oslo Gastronómica","No registra","Salchicha tipo viena sin piel libre de gluten","1192/54146/22",""
"31","Paty Clásico","No registra","Hamburguesas de carne vacuna supercongeladas libres de gluten","18/33420/1",""
"31","R","No registra","Jamón cocido con cuero","3783/81424/2",""
"31","Rydhans","No registra","Jamón cocido libre de gluten","1192/72437/2",""
"31","Rydhans","No registra","Mortadela libre de gluten","1192/96777/2",""
"31","Sadía","No registra","Salchicha tipo alemana sin piel libre de gluten","1008/41585/1",""
"31","Sersale","No registra","Bondiola libre de gluten","3839/46499/1",""
"31","Sip","No registra","Fiambre cocido de cerdo para emparedados libre de gluten","2616/69739/2",""
"31","Sip","No registra","Fiambre para emparedados libre de gluten","2616/69749/1",""
"31","Suino","No registra","Mortadela libre de gluten","4162/06387/1",""
"31","Suino","No registra","Chorizo fresco libre de gluten","4162/105127/2",""
"31","Suino","No registra","Chorizo fresco libre de gluten","4162/105127/4",""
"31","Suino","No registra","Chorizo fresco libre de gluten","4162/105127/6",""
"31","Suino","No registra","Chorizo fresco libre de gluten","4162/105127/8",""
"31","Suino","No registra","Salchicha fresca libre de gluten","4162/105128/1",""
"31","Suino","No registra","Salchichón con jamón libre de gluten","4162/105129/1",""
"31","Suino","No registra","Salame tipo criollo libre de gluten","4162/67092/2",""
"31","Suino","No registra","Bondiola libre de gluten","4162/70766/1",""
"31","Suino","No registra","Jamón cocido libre de gluten","4162/96575/1",""
"31","Suino","No registra","Fiambre de cerdo cocido libre de gluten","4162/98873/1",""
"31","Tapalqué Alimentos","No registra","Mortadela libre de gluten","1180/103719/2",""
"31","Tapalqué Alimentos","No registra","Mortadela libre de gluten","1180/103719/4",""
"31","Tapalqué Alimentos","No registra","Mortadela libre de gluten","1180/103719/5",""
"31","Tapalqué Alimentos","No registra","Mortadela libre de gluten","1180/103719/6",""
"31","Tapalqué Alimentos","No registra","Lomo de cerdo ahumado tipo suizo libre de gluten","1180/34359/3",""
"31","Trozer","No registra","Morcilla tipo criolla libre de gluten","2616/11137/1",""
"31","Trozer","No registra","Morcilla tipo criolla libre de gluten","2616/11137/4",""
"31","Trozer","No registra","Jamón cocido feteado libre de gluten","2616/70371/2",""
"31","Trozer","No registra","Jamón cocido","2616/70731/1",""
"31","Trozer","No registra","Salchicha fresca de carne 100% de cerdo libre de gluten","2616/83685/3",""
"31","Trozer","No registra","Salchicha fresca de carne de cerdo libre de gluten ","2616/83685/4",""
"31","Trozer","No registra","Chorizo fresco de carne 100% de cerdo libre de gluten","2616/83686/3",""
"31","Trozer","No registra","Chorizos frescos de cerdo libres de gluten","2616/83686/4",""
"31","Trozer","No registra","Fiambre cocido de pata de cerdo libre de gluten","2616/88973/2",""
"31","Trozer","No registra","Fiambre cocido de paleta de cerdo libre de gluten","2616/88981/1",""
"31","Trozer","No registra","Fiambre cocido de paleta de cerdo libre de gluten","2616/88981/4",""
"31","Tudor","No registra","Jamón crudo sin hueso sin cuero y desgrasado libre de gluten","3839/46502/1",""
"31","Tudor","No registra","Jamón cocido libre de gluten","3839/52217/2",""
"31","Vaes Etiqueta Negra","No registra","Jamón cocido libre de gluten","175/101845/2",""
"31","Vaes Etiqueta Negra","No registra","Jamón cocido libre de gluten","175/64728/2",""
"31","Vaes Etiqueta Negra","No registra","Jamón cocido libre de gluten","175/64728/3",""
"31","Vaes Etiqueta Roja","No registra","Fiambre cocido de pata de cerdo libre de gluten","175/95393/3",""
"31","Vaes Etiqueta Roja","No registra","Panceta ahumada libre de gluten","175/95753/1",""
"31","Vizzentico","No registra","Pernil de cerdo sin hueso libre de gluten","1193/99608/2",""
"2","Acetal 700","Acetal 700","Almidón de maíz modificado - Libre de gluten ","23038562",""
"2","Across ADI","Across ADI","Almidón de maíz modificado - Libre de gluten ","23039978",""
"2","La Loma","La Loma","Durazno congelado libre de gluten - Sin TACC ","23038514",""
"2","La Loma","No registra","Frutilla congelada - Libre de gluten ","23035140",""
"2","La Loma","No registra","Frutilla congelada - Libre de gluten ","23035140",""
"2","La Loma","No registra","Arándano congelado - Libre de gluten","23038474",""
"9","Arcor","Arcor","Azúcar común tipo ""A"" - Libre de gluten","23032637",""
"9","Concepción","No registra","Azúcar blanco refinado - Libre de gluten","23022345",""
"10","Trébol","No registra","Barra a base de girasol y sésamo - Libre de gluten","23039191",""
"10","Trébol","No registra","Barra a base de girasol, sésamo y maní - Libre de gluten","23039192",""
"10","Trébol","No registra","Barra a base de girasol, sésamo y coco - Libre de gluten","23039193",""
"10","Trébol","No registra","Barra a base de girasol, sésamo y chía - Libre de gluten","23039195",""
"10","Trébol","No registra","Barra a base de girasol, sésamo y lino - Libre de gluten","23039196",""
"10","Trébol","No registra","Barra a base de girasol, sésamo y quínoa - Libre de gluten","23039571",""
"13","Citric","Citric","Jugo de mandarina con pulpa- Libre de gluten","23040640",""
"13","Citric","Citric","Jugo mezcla de naranja con mango- Libre de gluten","23040641",""
"13","Citric","Citric","Jugo de naranja sin pulpa- Libre de gluten","23040642",""
"13","Citric","Frutos de Estación","Jugo mezcla de naranja con mango con conservantes libre de gluten ","23040890",""
"13","Citric","Limonada con pulpa","Bebida sin alcohol con 20% de jugo de limón- Libre de gluten","23040885",""
"13","Citric","No registra","Jugo de naranja con pulpa (pasteurizado) - Libre de gluten","23039932",""
"13","Citric","No registra","Jugo de pomelo con pulpa  - Libre de gluten - Sin TACC ","23040729",""
"13","Citric Kids","No registra","Bebida sin alcohol con 50% de jugo natural exprimido de naranja - Libre de gluten - Sin TACC","23039947",""
"13","Citric Kids","No registra","Bebida sin alcohol con 50% de jugo natural exprimido de naranja y durazno - Libre de gluten- Sin TACC","23039948",""
"13","Citric Kids","No registra","Bebida sin alcohol con 50% de jugo natural exprimido de naranja y frutilla - Libre de gluten - Sin TACC","23039949",""
"18","Arcor","Cristal Mix","Caramelos duros de mentol sabores a cereza, uva y eucalipto. Libres de gluten","23040437",""
"18","Arcor","Huesos","Caramelos masticables sabores a manzana, naranja, frutilla y ananá. Libre de gluten - Sin T.A.C.C.","23040893",""
"18","Butter'n Cream","Leche","Caramelos duros con leche, manteca y crema - Libre de gluten","23039711",""
"18","Frutales Arcor","Frutales Arcor","Caramelos blandos sabores a banana, cereza,  durazno y manzana - Libre de gluten - Sin TACC","23030806",""
"18","Halloween","Calabaza Surtido Masticable","Caramelos masticables sabores surtidos a frutilla, tutti frutti y manzana - Libre de gluten","23039709",""
"18","Halloween","Espantocabezas","Caramelos masticables sabores surtidos a frutilla, tutti frutti y manzana - Libre de gluten","23039710",""
"18","Halloween","Masticables Espanto","Caramelos masticables sabores surtidos a frutilla, tutti frutti y manzana - Libre de gluten","23039708",""
"18","Mentho Plus - Mentol","Mentho Plus - Mentol","Caramelos duros sabor mentol y eucalipto - Libre de gluten - ","23031790",""
"18","Mentho Plus - Cereza","Mentho Plus - Cereza","Caramelos duros de mentol y eucalipto sabor a cereza - Libre de gluten - Sin TACC","23031791",""
"18","Mentho Plus - Menta","Mentho Plus - Menta","Caramelos duros de menta - Libre de gluten - Sin TACC","23033677",""
"18","Mentho Plus - Miel","Mentho Plus - Miel","Caramelos duros de miel, mentol y eucalipto - Libre de gluten - Sin TACC","23033057",""
"18","Menta Cristal Arcor","Sin registro","Caramelos duros de menta - Libre de gluten","23030817",""
"18","Mentho Plus - Strong","Mentho Plus - Strong","Caramelos duros de mentol y eucalipto - Libre de gluten - Sin TACC","23034528",""
"18","Mentho Plus - C Berry Mix","No registra","Caramelos duros de mentol sabores a frutilla, cereza, guinda y blueberry fortificados con vitamina C - Libre de gluten","23036585",""
"18","Mentho Plus - C Surtido","No registra","Caramelos duros de mentol sabores a naranja, limón, mandarina y pomelo fortificados con vitamina C - Libre de gluten","23036200",""
"18","Mentho Plus C Tropical","No registra","Caramelos duros de mentol sabores a mango, sandía y uva fortificados con vitamina C - Libre de gluten","23037511",""
"18","Mentho Plus Limón","No registra","Caramelos duros de mentol y eucaliptus sabor a limón - Libre de gluten","23033058",""
"18","Mentho Plus Pera","No registra","Caramelos duros de mentol sabor a pera - Libre de gluten","23038889",""
"18","Mister Pop's","Frutal","Chupetines de caramelo duro ácido sabores surtidos a frutilla, naranja, cereza y manzana - Libre de gluten","23034894",""
"18","Mister Pop's","Frutal","Chupetines de caramelo duro ácido sabores surtido a durazno, tutti frutti, arándanos. Libres de gluten","23040697",""
"18","Mister Pop's","Halloween Calavera","Chupetines de caramelo duro ácido sabores a uva y naranja. Libre de gluten - Sin T.A.C.C.","23040894",""
"18","Mister Pop's ","Chicle","Chupetines de caramelo duro sabores a frutilla, manzana, uva y naranja rellenos con chicle - Libre de gluten","23034895",""
"18","Mogul","Mogul","Caramelos masticables sabor a banana, cereza, uva y tutti frutti- libre de gluten","23040909",""
"18","Rodajas ácidas","Rodajas ácidas","Caramelos duros sabores surtidos - Libre de gluten","23034933",""
"18","Sugus","Chupetines rellenos con caramelo masticable","Chupetines de caramelo duro rellenos con caramelo masticable sabores a frutilla, manzana y ananá. Libres de gluten","23040769",""
"18","Sugus Max","Ananá","Caramelos masticables sabor a ananá - Libre de gluten","23039703",""
"18","Sugus Max","Frutilla","Caramelos masticables sabor a frutilla - Libre de gluten","23039704",""
"18","Sugus Max","Menta","Caramelos masticables sabor a menta - Libre de gluten","23039706",""
"18","Sugus Max","Tutti Frutti","Caramelos masticables sabor a tutti fruti - Libre de gluten","23039707",""
"18","Sugus Max","Uva","Caramelos masticables sabor a uva - Libre de gluten","23039705",""
"18","Sugus Surtidos ","Sugus Surtidos ","Caramelos blandos surtidos sabores a frutilla, menta, ananá, limón, manzana y naranja - Libre de gluten","23040199",""
"21","Agrovita","Agrovita","Semillas de chía - Libres de gluten","23040856",""
"21","Agrovita","Agrovita","Semillas de sésamo - Libre de gluten","23040857",""
"21","Desa","Desa","Harina de maíz para preparar polenta. Libre de gluten","23039903",""
"21","Desa","Desa","Maíz pelado blanco. Libre de gluten","23039904",""
"21","Desa","Desa","Maíz pisingallo. Libre de gluten ","23039909",""
"21","Desa","Desa","Harina de maíz para preparar polenta de cocción rápida. Libre de gluten ","23039911",""
"21","Desa","No registra","Maíz pelado amarillo - Libre de gluten ","23039884",""
"21","Fem Fruit","No registra","Semillas de chía - Libre de gluten ","23040710",""
"21","La Fuerza de Francisco","No registra","Semillas de sésamo - Libre de gluten - Sin TACC ","23040712",""
"21","Misky - Alimenticio","Misky - Alimenticio","Almidón de maíz - Libre de gluten","23040335",""
"21","Natucer","No registra","Maíz pelado blanco - Libre de gluten ","23039892",""
"21","Natucer","No registra","Maíz pelado amarillo - Libre de gluten ","23039893",""
"21","Natucer","No registra","Maíz pisingallo - Libre de gluten ","23039894",""
"21","Natucer","No registra","Harina de maíz para preparar polenta - Libre de gluten ","23039910",""
"21","Natucer ","No registra","Harina de maíz para preparar polenta de cocción rápida - Libre de gluten ","23039912",""
"29","Albaclara","Albaclara","Dulce de leche. Libre de gluten","23036904",""
"29","Albaclara","Albaclara","Dulce de leche repostero. Libre de gluten","23036905",""
"29","Albaclara","No registra","Dulce de leche - Libre de gluten","23036904",""
